environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
mountain,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,91.07048447999385,35.61506648165384
mountain,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,95.11889845657663,151.0750422610959
mountain,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,86.07422141932483,27.829384670624485
mountain,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,88.2218630336883,156.5025154456732
mountain,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,115.18091402659886,88.80748049540236
mountain,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,85.24283736126397,53.38699040023314
mountain,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,90.59989742833551,198.454016096435
mountain,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,133.83554908509436,181.8274560760416
mountain,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,135.72964433855765,45.361311018275956
mountain,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,113.7501622231331,156.32753825210645
mountain,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,118.22533460415347,198.38212897696854
mountain,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,93.74944863723535,33.860312932248206
mountain,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,101.6263900215545,197.06883073051645
mountain,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,89.40328977014602,146.16031003656644
mountain,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,87.32416842380641,65.61646956912196
mountain,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,117.53849856011641,163.8897276940881
mountain,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,117.60635970171451,48.581688520899185
mountain,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,75.0031017030251,73.51650176884687
mountain,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,92.78296363323288,127.15129635484166
mountain,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,121.87891641619834,157.49943366640525
mountain,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,124.64448985518825,157.70505201223472
mountain,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,108.06901010218073,192.20463978465213
mountain,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,86.77848269277675,29.57221627119351
mountain,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,126.8378195056398,48.73705637035056
mountain,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,105.10807700336028,132.83463111922663
mountain,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,100.82743892654624,180.60290267700876
mountain,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,104.74066687199475,130.82663243427908
mountain,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,78.20407261913482,63.60707721799686
mountain,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,102.39686537021032,141.87806091713372
mountain,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,89.21562466763558,151.66570200718525
mountain,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,117.48159812314363,128.05900991590264
