environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
rural,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,104.13642223541483,24.699611813926488
rural,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,107.3628600843896,138.2238940424073
rural,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,108.12767120500949,133.99666329363703
rural,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,63.41489097262137,116.25380033092395
rural,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,79.39243263779395,138.4145955004246
rural,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,117.35755202330782,126.94553706793668
rural,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,110.99066267490718,139.09622588640468
rural,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,78.41927297411225,99.93139175289465
rural,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,76.49364986983225,130.9470680385362
rural,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,64.48217679629605,92.26769747839178
rural,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,83.05985205977802,61.453203772939645
rural,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,93.53315176984606,111.12006597385545
rural,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,74.91432218826473,20.923832886193125
rural,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,71.47438871169777,66.09376401482935
rural,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,94.54345415296218,67.06176159347447
rural,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,102.94196109536298,81.95827679002386
rural,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,78.73723687011159,30.391608220464363
rural,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,58.327326723951956,114.00846463377387
rural,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,78.94416281303832,139.2831810720706
rural,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,87.30449188221748,126.6624235256044
rural,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,98.69638817449405,88.33182054491326
rural,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,75.89200362701186,121.07609189683409
rural,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,94.07470373654668,24.565490838102672
rural,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,90.74625102704468,127.14605872486877
rural,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,62.26752607260797,146.65261897123833
rural,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,94.15435565830101,88.05014145795309
rural,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,61.35590211345268,50.730979855231496
rural,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,82.4905352558632,140.73450834150293
rural,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,110.8467201962672,41.81281497069192
rural,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,61.27190450866137,105.08308840395689
rural,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,98.43282855171431,12.221591952555528
rural,5.31,4.33,30.14,3.82,30.94,4.86,180.13,213.77,88.90690129945195,126.79312874210116
