environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
urban,4.34,4.55,68.96,30.54,29.67,8.85,49.15,275.96,133.50105647253824,83.17322279304163
urban,8.8,14.14,79.89,19.99,38.05,5.24,67.79,163.56,142.83770436409475,70.19139428943653
urban,8.18,17.53,37.56,76.75,13.71,1.98,274.24,356.2,90.87955927529488,221.6245059300843
urban,11.01,11.51,37.43,58.02,16.24,5.89,282.68,45.95,135.34301478892877,103.40282615476424
urban,8.72,11.63,42.55,32.25,28.29,6.13,81.8,364.11,127.8455490062669,164.49983048876504
urban,53.07,26.73,24.15,14.61,47.79,1.56,175.89,246.37,98.70038715540954,90.53640901480676
urban,55.12,18.44,19.48,88.07,39.55,8.43,233.08,55.53,116.87375609010785,267.1302066709751
urban,10.15,14.1,45.18,13.95,13.64,7.43,83.35,135.05,141.14254657503992,109.17918239665224
urban,51.86,31.07,5.81,38.72,42.76,1.74,168.19,109.65,108.59047277451322,96.06220420871392
urban,80.92,14.09,9.0,17.76,33.42,2.07,245.85,187.49,133.8401693406887,69.20763094773861
urban,10.87,14.94,25.61,57.5,48.02,4.45,275.95,249.67,128.85068045187845,233.36494848074318
urban,58.86,24.04,16.16,65.78,31.31,4.51,129.34,79.11,118.6423928719701,205.54211754915502
urban,18.44,9.54,27.58,77.13,49.99,7.27,238.63,248.8,97.6407722572997,142.3747585556096
urban,14.79,16.26,37.49,86.76,23.2,6.78,223.57,97.7,97.12952083640172,93.83837573034216
urban,4.59,7.4,62.43,9.58,22.95,7.73,105.76,164.67,99.59562638320476,124.28126036567198
urban,66.56,31.58,9.73,24.13,22.37,9.18,226.42,50.17,100.26023134657265,132.62077890008266
urban,117.45,15.47,8.41,16.18,49.71,3.33,50.62,233.59,117.05196059562408,225.408731050051
urban,10.57,11.6,39.68,38.41,18.97,6.08,77.35,336.73,123.86058622388863,115.40616453698647
urban,10.29,15.77,45.53,43.89,13.02,8.46,108.35,427.48,110.7904912655575,174.44383690626933
urban,88.24,27.21,5.89,70.54,49.93,3.6,194.99,470.64,127.42866259470324,237.46686092087788
urban,11.64,18.5,43.73,23.49,26.93,1.57,227.38,137.87,118.69371877689034,277.1086415408784
urban,107.8,29.32,8.93,5.59,24.11,5.95,273.54,478.92,103.95718783587351,265.3441009805415
urban,4.2,4.56,73.9,43.49,12.84,1.68,58.78,374.73,128.56904853627998,230.34377695958125
urban,39.03,15.31,23.08,81.47,48.69,2.57,79.04,203.29,81.014604844396,90.14672182321377
urban,59.15,14.7,18.74,25.44,41.26,2.56,208.04,340.39,127.81042940630653,250.33758508373234
urban,27.99,15.01,24.9,38.14,37.47,5.0,175.41,244.79,104.63802013741255,211.74315570609122
urban,57.28,18.77,22.08,67.84,34.73,8.61,126.21,362.1,99.35893310568882,155.7564812554381
urban,11.33,11.05,49.16,41.88,14.7,4.34,158.81,29.45,105.33285180957887,176.21985405735256
urban,28.3,12.17,24.8,33.03,26.26,7.16,131.22,394.11,123.4026817442167,283.3957937014306
urban,6.18,15.04,42.87,55.98,18.97,1.64,265.46,81.28,118.42838406897022,280.3911075548582
urban,117.97,19.59,19.45,78.44,46.4,9.42,37.22,350.27,120.13518367066484,166.87458974392752
urban,5.31,4.33,30.14,3.82,30.94,4.86,180.13,213.77,138.94041608281216,122.45343714879746
urban,6.99,5.85,52.66,83.1,24.12,6.45,214.12,22.89,113.86235237921096,205.0867801096054
urban,16.22,18.14,31.65,22.14,49.39,9.13,147.38,141.06,113.37840254360079,289.11440456630817
urban,10.02,17.79,28.78,61.78,10.49,2.48,141.39,81.72,106.36076665880755,181.81093812034246
urban,9.43,19.71,42.81,34.02,24.55,5.3,221.55,487.73,110.28490392818381,265.95722040054244
urban,11.05,9.02,24.44,3.57,32.67,5.33,219.14,226.03,124.30990785293315,86.07685041691569
urban,7.66,5.23,64.59,39.94,28.68,4.36,194.95,338.63,124.61263627618303,111.33786259014038
urban,47.78,20.02,12.33,46.77,38.46,7.64,175.18,59.1,91.91233132175499,102.25492570041109
urban,4.71,14.08,35.08,28.77,46.07,9.8,195.56,296.33,132.4929815926211,239.17499784046754
urban,7.37,7.22,70.89,89.49,43.38,7.94,192.13,315.76,85.8974831422849,120.68621821561979
urban,43.43,10.63,20.7,79.73,33.12,2.87,122.83,170.62,93.83373332145827,278.6661551698353
urban,13.89,17.39,32.91,61.76,48.88,6.59,130.41,418.14,116.48022963656186,268.21260070141216
urban,4.13,12.48,79.58,50.17,47.47,8.74,192.85,343.99,131.8003861287947,189.75767344575934
urban,68.21,29.67,18.97,62.91,21.06,9.74,216.79,499.8,119.56440354035823,144.32625141447505
urban,18.83,24.97,35.69,44.38,33.66,1.29,295.95,247.84,135.51052469658936,187.62752804902678
urban,67.31,34.67,7.33,80.39,33.15,6.4,135.17,276.81,85.88929454122959,254.23469967160486
urban,6.18,18.5,39.62,0.41,15.85,7.54,181.03,349.35,94.85843881510246,162.25292012526222
urban,15.11,12.58,24.23,60.74,27.22,4.76,158.14,259.53,130.9764125721102,144.61340633964534
urban,88.48,10.3,18.46,83.87,24.56,5.95,253.67,214.49,89.24864791791184,208.46119299170854
urban,55.43,15.49,10.91,61.33,35.64,9.41,255.48,368.1,122.08406220283337,210.64112457371525
urban,8.35,12.13,20.2,0.94,24.12,8.57,90.65,113.75,145.11124173380378,50.45984307351279
urban,44.22,17.89,19.58,12.24,36.12,1.35,85.94,100.25,105.93785060539054,266.7362690900944
urban,9.86,9.31,73.75,54.09,29.6,6.74,272.28,160.25,120.01139925838395,219.48146036950527
urban,8.15,7.22,41.04,17.63,32.68,3.75,29.14,120.79,136.3824006662139,96.26272580726615
urban,10.61,10.27,27.09,57.66,32.67,3.56,98.91,178.57,141.40071720193572,54.67431948750066
urban,4.13,5.29,71.19,85.77,49.2,9.36,190.51,61.21,91.90245341789105,283.2343496376765
urban,7.22,11.62,48.1,37.88,41.28,3.84,20.47,158.54,88.83317163112667,199.2596165342963
urban,49.3,18.0,12.82,53.03,11.96,7.18,62.88,381.74,105.62830490770585,115.01568663310911
urban,14.84,23.99,23.32,44.09,48.7,2.81,299.17,221.76,86.0232489474192,167.6015990114006
urban,8.06,18.83,31.02,3.42,17.11,2.49,70.22,323.62,138.10090623967372,254.13059499333508
urban,5.39,10.15,52.98,8.36,10.81,2.59,170.5,209.43,86.16138238446638,182.54682947578792
urban,6.81,6.53,55.1,20.87,40.1,3.92,196.26,103.9,143.37704782099203,232.91266558893994
urban,4.37,13.89,34.45,66.69,13.91,9.37,49.37,475.42,105.97465820832758,272.94915082913224
urban,4.21,12.1,42.37,7.9,17.48,6.72,24.77,170.33,89.9374057780505,82.68469411522824
urban,14.65,15.82,23.61,65.85,43.36,5.41,27.56,413.84,121.5840323916704,221.39177961522418
urban,16.83,23.59,36.21,1.99,40.2,5.64,290.09,53.38,143.46629858945687,257.19625697351967
urban,16.29,13.23,26.25,27.49,39.25,3.97,281.99,275.77,135.81881020926613,298.77016942014075
urban,4.95,14.34,48.55,39.05,24.95,7.86,27.8,383.83,88.73217952632882,175.8690895825991
urban,114.87,33.36,19.48,81.7,41.34,5.24,151.66,297.88,135.49354220589743,129.29917747417628
